Comment,Designator,Footprint,LCSC
6k/0603,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C131439
FUSB302B01MPX,U5,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,C132291
200p,"C13,C14",C_0402_1005Metric,C1530
22n,C3,C_0402_1005Metric,C1532
2u2,"C29,C30,C43",C_0603_1608Metric,C15849
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
FXL0420-1R0-M,L3,IND-SMD_L4.4-W4.2,C167203
1N5819WS,"D6,D7",D_SOD-323,C191023
4.7u/10V,C21,C_0402_1005Metric,C19702
AO3400A,"Q1,Q4,Q5,Q6,Q8",SOT-23,C20917
300/0603,"R27,R28",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23025
100,"R11,R4",R_0402_1005Metric,C25076
2,"R23,R24",R_0402_1005Metric,C25092
30k,R8,R_0402_1005Metric,C25553
10k,"R10,R16,R3,R9",R_0402_1005Metric,C25744
16k,R35,R_0402_1005Metric,C25759
75k,"R1,R20,R33",R_0402_1005Metric,C25798
3k,"R12,R14,R18,R2,R25,R29,R5,R6",R_0402_1005Metric,C25890
5k,R7,R_0402_1005Metric,C25905
Conn_01x12_MountingPin,J4,Molex_PicoBlade_53261-1271_1x12-1MP_P1.25mm_Horizontal,C276921
BQ25792RQMR,U8,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,C2862876
SMTSO3030CTJ,"U10,U2,U3,U9",SMD_BD5.6-D4.1,C2915308
100n,"C1,C11,C12,C19,C2,C20,C25,C27,C35,C36,C38",C_0402_1005Metric,C307331
SW_SPDT,SW6,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,C393937
DC-C033D-5.5A-2.0,DC1,DC-IN-TH_DC-C033D-5.5A-2.5,C500113
IHLP3232DZER3R3M11,L1,IND-SMD_L8.7-W8.2_IHLP-3232CZ,C511015
A-SP1102AR6GHC-A01-2C,"U12,U13",LED-SMD_4P-L3.0-W1.5_A-SP1102AR6GHC-A01-2C,C5160724
FTC252010S4R7MBCA,U4,IND-SMD_L2.5-W2.0-VLS252012CX-150M,C5832360
22uF/6.3V,"C15,C4,C41,C44,C8,C9",C_0603_1608Metric,C59461
TPS56637RPAR,U11,VQFN-HR-10_L3.0-W3.0_RPA,C841386
MT2492,U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C89358
SPX3819M5-L-3-3,U1,SOT-23-5,C9055
10u,"C10,C17,C18,C22,C23,C26,C31,C32,C33,C34,C37,C39,C40,C42,C5,C6",C_0603_1608Metric,C96446
PANEL_CONN,J8,PinHeader_1x06_P2.54mm_Vertical,
EXT_IFACE,J5,2x10_smdthrough,
CONN_BATT,J3,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,
Conn_01x06,J9,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,
Conn_01x05,J6,PinHeader_1x05_P1.27mm_Vertical,
B4P,J1,B4P_MATRIXPWR,
DNP,R21,R_0402_1005Metric,
QWIIC,J10,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
HARDRST,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
QWIIC,J11,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
ESP32-C3-WROOM-02,U7,ESP32-C3-WROOM-02,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
JL15EDGA-38106G01,CN1,CONN-TH_6P-P3.81_JILN_JL15EDGA-38106G01,
VBUS_DC,JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
10k/0603/DNP,R31,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
3V3_5V,JP4,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
