Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,85.6,-102.2,90.0,top
C2,100n,C_0402_1005Metric,86.6,-102.2,90.0,top
C3,22n,C_0402_1005Metric,79.15,-80.125,0.0,top
C4,22uF/6.3V,C_0603_1608Metric,87.425,-70.0,180.0,top
C5,10u,C_0603_1608Metric,62.5,-98.1,90.0,top
C6,10u,C_0603_1608Metric,79.9,-68.88,-90.0,top
C8,22uF/6.3V,C_0603_1608Metric,79.075,-81.425,0.0,top
C9,22uF/6.3V,C_0603_1608Metric,79.05,-82.925,0.0,top
C10,10u,C_0603_1608Metric,82.9,-77.325,-90.0,top
C11,100n,C_0402_1005Metric,62.79,-89.6475,90.0,top
C12,100n,C_0402_1005Metric,68.57,-90.67,-90.0,top
C13,200p,C_0402_1005Metric,63.16,-91.1475,180.0,top
C14,200p,C_0402_1005Metric,63.16,-88.27,180.0,top
C15,22uF/6.3V,C_0603_1608Metric,87.425,-71.5,180.0,top
C17,10u,C_0603_1608Metric,63.66,-64.165,90.0,top
C18,10u,C_0603_1608Metric,74.714012,-68.08,-90.0,top
C19,100n,C_0402_1005Metric,73.354012,-68.24,90.0,top
C20,100n,C_0402_1005Metric,66.1,-68.54,90.0,top
C21,4.7u/10V,C_0402_1005Metric,67.1,-69.5,-90.0,top
C22,10u,C_0603_1608Metric,74.25,-78.0,-90.0,top
C23,10u,C_0603_1608Metric,72.0,-81.3375,180.0,top
C25,100n,C_0402_1005Metric,86.9,-67.18,180.0,top
C26,10u,C_0603_1608Metric,80.6,-71.18,0.0,top
C27,100n,C_0402_1005Metric,81.2,-68.28,90.0,top
C29,2u2,C_0603_1608Metric,63.0,-77.3,-90.0,top
C30,2u2,C_0603_1608Metric,64.225,-83.15,0.0,top
C31,10u,C_0603_1608Metric,74.354012,-64.515,90.0,top
C32,10u,C_0603_1608Metric,72.854012,-64.515,90.0,top
C33,10u,C_0603_1608Metric,65.2,-64.2,90.0,top
C34,10u,C_0603_1608Metric,66.7,-64.2,90.0,top
C35,100n,C_0402_1005Metric,69.154012,-65.24,180.0,top
C36,100n,C_0402_1005Metric,70.998201,-65.244509,0.0,top
C37,10u,C_0603_1608Metric,76.014012,-65.1,90.0,top
C38,100n,C_0402_1005Metric,66.7,-66.2,0.0,top
C39,10u,C_0603_1608Metric,64.9,-67.2,90.0,top
C40,10u,C_0603_1608Metric,63.4,-67.2,90.0,top
C41,22uF/6.3V,C_0603_1608Metric,87.425,-68.48,180.0,top
C42,10u,C_0603_1608Metric,75.9,-57.8,180.0,top
C43,2u2,C_0603_1608Metric,64.745,-87.07,0.0,top
C44,22uF/6.3V,C_0603_1608Metric,70.25,-90.12,90.0,top
D6,1N5819WS,D_SOD-323,67.5,-83.3,180.0,top
D7,1N5819WS,D_SOD-323,64.8,-76.4,90.0,top
DC1,DC-C033D-5.5A-2.0,DC-IN-TH_DC-C033D-5.5A-2.5,54.952501,-64.0,90.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,51.6825,-80.9,-90.0,top
J4,Conn_01x12_MountingPin,Molex_PicoBlade_53261-1271_1x12-1MP_P1.25mm_Horizontal,73.0,-102.8,0.0,top
L1,IHLP3232DZER3R3M11,IND-SMD_L8.7-W8.2_IHLP-3232CZ,84.6,-62.48,0.0,top
L3,FXL0420-1R0-M,IND-SMD_L4.4-W4.2,69.954012,-60.84,180.0,top
Q1,AO3400A,SOT-23,65.8,-72.8,0.0,top
Q4,AO3400A,SOT-23,61.8625,-80.6,180.0,top
Q5,AO3400A,SOT-23,65.8375,-80.6,0.0,top
